file,row,predicted_alarm,predicted_alarm_label
FOC_20190801_06,176,0,Normal
FOC_20190801_06,177,0,Normal
FOC_20190801_06,178,0,Normal
FOC_20190801_06,179,0,Normal
FOC_20190801_06,180,0,Normal
FOC_20190801_06,181,0,Normal
FOC_20190801_06,182,0,Normal
FOC_20190801_06,183,0,Normal
FOC_20190801_06,184,0,Normal
FOC_20190801_06,185,0,Normal
FOC_20190801_06,186,0,Normal
FOC_20190801_06,187,0,Normal
FOC_20190801_06,188,0,Normal
FOC_20190801_06,189,0,Normal
FOC_20190801_06,190,0,Normal
FOC_20190801_06,191,0,Normal
FOC_20190801_06,192,0,Normal
FOC_20190801_06,193,0,Normal
FOC_20190801_06,194,0,Normal
FOC_20190801_06,195,0,Normal
FOC_20190801_06,196,0,Normal
FOC_20190801_06,197,0,Normal
FOC_20190801_06,198,0,Normal
FOC_20190801_06,199,0,Normal
FOC_20190801_06,200,0,Normal
FOC_20190801_06,201,0,Normal
FOC_20190801_06,202,0,Normal
FOC_20190801_06,203,0,Normal
FOC_20190801_06,204,0,Normal
FOC_20190801_06,205,0,Normal
FOC_20190801_06,206,0,Normal
FOC_20190801_06,207,0,Normal
FOC_20190801_06,208,0,Normal
FOC_20190801_06,209,0,Normal
FOC_20190801_06,210,0,Normal
FOC_20190801_06,211,0,Normal
FOC_20190801_06,212,0,Normal
FOC_20190801_06,213,0,Normal
FOC_20190801_06,214,0,Normal
FOC_20190801_06,215,0,Normal
FOC_20190801_06,216,0,Normal
FOC_20190801_06,217,0,Normal
FOC_20190801_06,218,0,Normal
FOC_20190801_06,219,0,Normal
FOC_20190801_06,220,0,Normal
FOC_20190801_06,221,0,Normal
FOC_20190801_06,222,0,Normal
FOC_20190801_06,223,0,Normal
FOC_20190801_06,224,0,Normal
FOC_20190801_06,225,0,Normal
FOC_20190801_06,226,0,Normal
FOC_20190801_06,227,0,Normal
FOC_20190801_06,228,0,Normal
FOC_20190801_06,229,0,Normal
FOC_20190801_06,230,0,Normal
FOC_20190801_06,231,0,Normal
FOC_20190801_06,232,0,Normal
FOC_20190801_06,233,0,Normal
FOC_20190801_06,234,0,Normal
FOC_20190801_06,235,0,Normal
FOC_20190801_06,236,0,Normal
FOC_20190801_06,237,0,Normal
FOC_20190801_06,238,0,Normal
FOC_20190801_06,239,0,Normal
FOC_20190801_06,240,0,Normal
FOC_20190801_06,241,0,Normal
FOC_20190801_06,242,0,Normal
FOC_20190801_06,243,0,Normal
FOC_20190801_06,244,0,Normal
FOC_20190801_06,245,0,Normal
FOC_20190801_06,246,0,Normal
FOC_20190801_06,247,0,Normal
FOC_20190801_06,248,0,Normal
FOC_20190801_06,249,0,Normal
FOC_20190801_06,250,0,Normal
FOC_20190801_06,251,0,Normal
FOC_20190801_06,252,0,Normal
FOC_20190801_06,253,0,Normal
FOC_20190801_06,254,0,Normal
FOC_20190801_06,255,0,Normal
FOC_20190801_06,256,0,Normal
FOC_20190801_06,257,0,Normal
FOC_20190801_06,258,0,Normal
FOC_20190801_06,259,0,Normal
FOC_20190801_06,260,0,Normal
FOC_20190801_06,261,0,Normal
FOC_20190801_06,262,0,Normal
FOC_20190801_06,263,0,Normal
FOC_20190801_06,264,0,Normal
FOC_20190801_06,265,0,Normal
FOC_20190801_06,266,0,Normal
FOC_20190801_06,267,0,Normal
FOC_20190801_06,268,0,Normal
FOC_20190801_06,269,0,Normal
FOC_20190801_06,270,0,Normal
FOC_20190801_06,271,0,Normal
FOC_20190801_06,272,0,Normal
FOC_20190801_06,273,0,Normal
FOC_20190801_06,274,0,Normal
FOC_20190801_06,275,0,Normal
FOC_20190801_06,276,0,Normal
FOC_20190801_06,277,0,Normal
FOC_20190801_06,278,0,Normal
FOC_20190801_06,279,0,Normal
FOC_20190801_06,280,0,Normal
FOC_20190801_06,281,0,Normal
FOC_20190801_06,282,0,Normal
FOC_20190801_06,283,0,Normal
FOC_20190801_06,284,0,Normal
FOC_20190801_06,285,0,Normal
FOC_20190801_06,286,0,Normal
