DATE,MOTOR COIL,FRONT IN,REAR_IN,FRONT OUT,REAR OUT,MACHINE TEMP,VIBRATION,VIB-X,VIB-Y,VIB-Z,SPINDLE LOAD,SPINDLE COMMAND SPEED,SPINDLE ACTUAL SPEED,SPINDLE DIRECTION,FEED SPEED,FEED OVERRIDE,FEED ACTUAL SPEED,DI_CUT,JOG OVERRIDE,RAPID OVERRIDE,FEED AXIS STATUS,RELATIVE1,RELATIVE2,RELATIVE3,RELATIVE4,RELATIVE5,RELATIVE6,RELATIVE7,RELATIVE8,ABSOLUTE1,ABSOLUTE2,ABSOLUTE3,ABSOLUTE4,ABSOLUTE5,ABSOLUTE6,ABSOLUTE7,ABSOLUTE8,MACHINE1,MACHINE2,MACHINE3,MACHINE4,MACHINE5,MACHINE6,MACHINE7,MACHINE8,DISTANCE1,DISTANCE2,DISTANCE3,DISTANCE4,DISTANCE5,DISTANCE6,DISTANCE7,DISTANCE8,LOAD1,LOAD2,LOAD3,LOAD4,LOAD5,LOAD6,LOAD7,LOAD8,NC MODE,NC STATUS,SPINDLE POT,SPINDLE PTN,MAIN PROGRAM,EXEC PROGRAM,SEQ NUMBER,MAIN COMMENT,MACHINE ALARM,MACHINE WARNING,EXEC BLOCK,BLOCK COUNTER,SPINDLE FTN,SPINDLE ITN,EMERGENCY,ADDITIONAL INCYCLE STATUS,CUTTING REMOVAL AMOUNT,SPINDLE OVERRIDE,MSPINDLE LOAD
2019/08/01 15:00:02:038,24.6,,,25.3,24.6,,,0,0.1,0,2.28,4000,4000,CW,72,100,48.79,1,50,100,11,32.76017,-38.33012,-30.32384,10080.0004,0,-38.33386,-30.32385,0,109.75347,28.0109,2.15,0,0,-38.34232,2.15,0,32.76003,-38.33386,-30.32382,0,0,-38.33386,-30.32382,0,0.01682,-0.11968,0,0,0,0,0,0,-4,38,-7,-4,5,38,-6,-5,MEMORY,START,21,50020000,1712,1002,10560,68A314071 2012 -2712 OP1,0,310068,N10559 X109.95941 Y27.75332 ,8664,0,0,0,-1,,100,
2019/08/01 15:00:05:029,24.6,,,25.3,24.6,,,0,0,0,1.73,4000,4000,CW,72,100,39.94,1,50,100,11,33.06611,-38.42611,-30.52384,10080.0004,0,-38.42985,-30.52385,0,110.07497,27.93692,1.95,0,0,-38.4163,1.95,0,33.06597,-38.42985,-30.52382,0,0,-38.42985,-30.52382,0,0.01278,0.11103,0,0,0,0,0,0,9,45,2,-4,-1,45,0,0,MEMORY,START,21,50020000,1712,1002,10589,68A314071 2012 -2712 OP1,0,310068,N10589 X109.88827 Y28.00408 ,8693,0,0,0,-1,,100,
2019/08/01 15:00:08:022,24.6,,,25.3,24.6,,,0,0,0,1.62,4000,4000,CW,72,100,35.36,1,50,100,11,32.87204,-38.4879,-30.52384,10080.0004,0,-38.49164,-30.52385,0,109.87484,27.85302,1.95,0,0,-38.5002,1.95,0,32.8719,-38.49164,-30.52382,0,0,-38.49164,-30.52382,0,0.11087,-0.06025,0,0,0,0,0,0,-36,-7,-2,-4,5,-7,-8,-4,MEMORY,START,21,50020000,1712,1002,10621,68A314071 2012 -2712 OP1,0,310068,N10621 X110.17228 Y27.89841 ,8725,0,0,0,-1,,100,
2019/08/01 15:00:11:030,24.6,,,25.3,24.6,,,0,0,0,2.09,4000,3999,CW,72,100,43.29,1,50,100,11,32.97217,-38.59593,-30.52384,10080.0004,0,-38.59967,-30.52385,0,109.98089,27.75349,1.95,0,0,-38.59973,1.95,0,32.97203,-38.59967,-30.52382,0,0,-38.59967,-30.52382,0,0.15179,0.02604,0,0,0,0,0,0,-61,19,-3,-3,0,19,-9,0,MEMORY,START,21,50020000,1712,1002,10650,68A314071 2012 -2712 OP1,0,310068,N10647 X110.11798 Y27.77959 ,8754,0,0,0,-1,,99.9,
2019/08/01 15:00:14:018,24.6,,,25.3,24.6,,,0,0,0,1.61,4000,4000,CW,72,100,53.98,1,50,100,11,32.90849,-38.33809,-30.72384,10080.0004,0,-38.34183,-30.72385,0,109.90154,28.00774,1.75,0,0,-38.34548,1.75,0,32.90836,-38.34183,-30.72382,0,0,-38.34183,-30.72382,0,0.04953,-0.09914,0,0,0,0,0,0,-7,16,6,-3,2,16,4,-2,MEMORY,START,21,50020000,1712,1002,10678,68A314071 2012 -2712 OP1,0,310068,N10675 X109.95205 Y27.91225 ,8783,0,0,0,-1,,100,
2019/08/01 15:00:16:995,24.6,,,25.3,24.6,,,0,0.1,0,2.37,4000,3999,CW,72,100,49.28,1,50,100,11,32.95957,-38.22075,-30.72384,10080.0004,0,-38.22448,-30.72385,0,109.92963,28.12874,1.75,0,0,-38.22448,1.75,0,32.95943,-38.2115,-30.72382,0,0,-38.2115,-30.72382,0,-0.06501,-0.06415,0,0,0,0,0,0,51,28,-3,-3,-3,28,-5,2,MEMORY,START,21,50020000,1712,1002,10712,68A314071 2012 -2712 OP1,0,310068,N10708 X109.86462 Y28.06459 ,8816,0,0,0,-1,,99.9,
2019/08/01 15:00:20:022,24.6,,,25.3,24.6,,,0.1,0.1,0,2.27,4000,4000,CW,72,100,48.12,1,50,100,11,32.84752,-38.46695,-30.72384,10080.0004,0,-38.47068,-30.72385,0,109.84154,27.88254,1.75,0,0,-38.47068,1.75,0,32.83467,-38.45656,-30.72382,0,0,-38.45656,-30.72382,0,0.10619,-0.07559,0,0,0,0,0,0,-10,19,-6,-3,5,19,-8,-6,MEMORY,START,21,50020000,1712,1002,10743,68A314071 2012 -2712 OP1,0,310068,N10743 X110.14785 Y27.90772 ,8847,0,0,0,-1,,100,
2019/08/01 15:00:23:021,24.6,,,25.3,24.6,,,0,0,0,2.37,4000,4000,CW,72,100,36.51,1,50,100,11,32.78461,-38.48607,-30.72384,10080.0004,0,-38.48981,-30.72385,0,109.79471,27.86341,1.75,0,0,-38.48981,1.75,0,32.78447,-38.4652,-30.72382,0,0,-38.4652,-30.72382,0,0.0866,-0.08344,0,0,0,0,0,0,-1,41,-7,-3,5,40,-8,-5,MEMORY,START,21,50020000,1712,1002,10772,68A314071 2012 -2712 OP1,0,310068,N10772 X110.15499 Y27.81268 ,8876,0,0,0,-1,,100,
2019/08/01 15:00:26:027,24.6,,,25.3,24.6,,,0.1,0,0,1.7,4000,4000,CW,72,100,40.46,1,50,100,11,33.09586,-38.31076,-30.92384,10080.0004,0,-38.3145,-30.92385,0,110.08702,28.04755,1.55,0,0,-38.30567,1.55,0,33.09573,-38.3145,-30.92382,0,0,-38.3145,-30.92382,0,-0.08989,-0.03872,0,0,0,0,0,0,10,39,1,-3,0,38,-1,0,MEMORY,START,21,50020000,1712,1002,10800,68A314071 2012 -2712 OP1,0,310068,N10799 X109.88827 Y28.00408 ,8906,0,0,0,-1,,100,
2019/08/01 15:00:29:047,24.6,,,25.2,24.6,,,0,0,0,2.15,4000,3999,CW,72,100,51.65,1,50,100,11,33.01685,-38.54554,-30.92384,10080.0004,0,-38.54928,-30.92385,0,110.03241,27.8056,1.55,0,0,-38.54762,1.55,0,33.01671,-38.54928,-30.92382,0,0,-38.54928,-30.92382,0,0.11072,0.03726,0,0,0,0,0,0,-17,18,-3,-3,2,18,-8,-2,MEMORY,START,21,50020000,1712,1002,10833,68A314071 2012 -2712 OP1,0,310068,N10831 X110.17228 Y27.89841 ,8937,0,0,0,-1,,99.9,
