DATE,MOTOR COIL,FRONT IN,REAR_IN,FRONT OUT,REAR OUT,MACHINE TEMP,VIBRATION,VIB-X,VIB-Y,VIB-Z,SPINDLE LOAD,SPINDLE COMMAND SPEED,SPINDLE ACTUAL SPEED,SPINDLE DIRECTION,FEED SPEED,FEED OVERRIDE,FEED ACTUAL SPEED,DI_CUT,JOG OVERRIDE,RAPID OVERRIDE,FEED AXIS STATUS,RELATIVE1,RELATIVE2,RELATIVE3,RELATIVE4,RELATIVE5,RELATIVE6,RELATIVE7,RELATIVE8,ABSOLUTE1,ABSOLUTE2,ABSOLUTE3,ABSOLUTE4,ABSOLUTE5,ABSOLUTE6,ABSOLUTE7,ABSOLUTE8,MACHINE1,MACHINE2,MACHINE3,MACHINE4,MACHINE5,MACHINE6,MACHINE7,MACHINE8,DISTANCE1,DISTANCE2,DISTANCE3,DISTANCE4,DISTANCE5,DISTANCE6,DISTANCE7,DISTANCE8,LOAD1,LOAD2,LOAD3,LOAD4,LOAD5,LOAD6,LOAD7,LOAD8,NC MODE,NC STATUS,SPINDLE POT,SPINDLE PTN,MAIN PROGRAM,EXEC PROGRAM,SEQ NUMBER,MAIN COMMENT,MACHINE ALARM,MACHINE WARNING,EXEC BLOCK,BLOCK COUNTER,SPINDLE FTN,SPINDLE ITN,EMERGENCY,ADDITIONAL INCYCLE STATUS,CUTTING REMOVAL AMOUNT,SPINDLE OVERRIDE,MSPINDLE LOAD
"2019/08/12 09:37:03:098","28.6","","","27.8","26.7","","","0.0","0.0","0.0","1.90","4000","4000","CW","60","100","59.97","1","50.00","100","01000101","-4.16025","-43.61528","-28.81170","5400.0000","0.0003","-43.61721","-28.81186","0.0000","72.83384","22.73601","1.50000","0.0000","0.0000","-43.61721","1.50000","0.0000","-4.16032","-43.61721","-28.81174","0.0000","0.0000","-43.61721","-28.81174","0.0000","-0.36811","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","17","28","-15","-2","0","29","-14","0","MEMORY","START","16","50025019","2712","2004","80424","68A314071 2012 -2712 OP2","0","0","N80424 X72.46573 ","29036","50025019","0","0","-1","","100",""
"2019/08/12 09:37:06:095","28.6","","","27.8","26.7","","","0.0","0.0","0.0","1.78","4000","4000","CW","360","100","174.85","0","50.00","100","01000100","-5.88760","-43.59818","-28.63095","5400.0000","0.0003","-43.60011","-28.63110","0.0000","71.10649","22.75311","1.74329","0.0000","0.0000","-43.60011","1.67800","0.0000","-5.88767","-43.60011","-28.63098","0.0000","0.0000","-43.60011","-28.63098","0.0000","0.00000","0.00000","-0.24605","0.0000","0.0000","0.00000","0.00000","0.0000","1","35","4","-2","0","36","6","0","MEMORY","START","16","50025019","2712","2004","80447","68A314071 2012 -2712 OP2","0","0","N80447 Y22.38500 ","29059","50025019","0","0","-1","","100",""
"2019/08/12 09:37:09:078","28.6","","","27.8","26.7","","","0.0","0.0","0.1","1.70","4000","4000","CW","360","100","464.90","0","50.00","100","01000100","-6.00518","-45.42478","-27.86141","5400.0000","0.0003","-45.42671","-27.86156","0.0000","70.98891","20.92651","2.51559","0.0000","0.0000","-45.42671","1.75000","0.0000","-6.00525","-45.42671","-27.55206","0.0000","0.0000","-45.42671","-27.55206","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","7","26","-45","-1","1","27","-50","-1","MEMORY","START","16","50025019","2712","2004","80469","68A314071 2012 -2712 OP2","0","0","N80469 G01 Z1.50000 F60. ","29081","50025019","0","0","-1","","100",""
"2019/08/12 09:37:12:101","28.6","","","27.8","26.7","","","0.0","0.0","0.0","1.68","4000","4000","CW","360","100","678.61","0","50.00","100","00000011","-4.87556","-47.55920","-26.07699","5400.0000","0.0003","-47.56112","-26.07714","0.0000","72.13389","18.76834","4.30000","0.0000","0.0000","-47.58488","4.30000","0.0000","-4.87563","-47.56112","-26.07703","0.0000","0.0000","-47.56112","-26.07703","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","126","119","-4","-1","-1","118","-6","1","MEMORY","START","16","50025019","2712","2004","80490","68A314071 2012 -2712 OP2","0","0","N80490 Z1.75000 ","29102","50025019","0","0","-1","","100",""
"2019/08/12 09:37:15:098","28.6","","","27.8","26.7","","","0.0","0.0","0.0","1.71","4000","4000","CW","360","100","776.12","0","50.00","100","00000011","-2.77264","-44.22030","-26.07699","5400.0000","0.0003","-44.22222","-26.07714","0.0000","74.27461","22.20112","4.30000","0.0000","0.0000","-44.15210","4.30000","0.0000","-2.77271","-44.22222","-26.07703","0.0000","0.0000","-44.22222","-26.07703","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","124","-30","-5","-1","0","-30","-7","0","MEMORY","START","16","50025019","2712","2004","80501","68A314071 2012 -2712 OP2","0","0","N80501 Z1.75000 ","29113","50025019","0","0","-1","","100",""
"2019/08/12 09:37:18:095","28.6","","","27.8","26.7","","","0.0","0.0","0.0","1.76","4000","4000","CW","360","100","69.54","0","50.00","100","00000011","-1.34213","-43.95601","-26.07699","5400.0000","0.0003","-43.95793","-26.07714","0.0000","75.66636","22.40179","4.30000","0.0000","0.0000","-43.95143","4.30000","0.0000","-1.34220","-43.95793","-26.07703","0.0000","0.0000","-43.95793","-26.07703","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","20","42","-4","-1","-1","42","-8","1","MEMORY","START","16","50025019","2712","2004","80539","68A314071 2012 -2712 OP2","0","0","N80539 Z1.75000 ","29151","50025019","0","0","-1","","100",""
"2019/08/12 09:37:21:109","28.6","","","27.8","26.7","","","0.0","0.0","0.0","1.77","4000","4000","CW","360","100","626.61","0","50.00","100","00000011","-4.41770","-43.99329","-26.07699","5400.0000","0.0003","-43.99521","-26.07714","0.0000","72.49240","22.36308","4.30000","0.0000","0.0000","-43.99014","4.30000","0.0000","-4.41777","-43.99521","-26.07703","0.0000","0.0000","-43.99521","-26.07703","0.0000","-6.10989","0.36891","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","41","45","-5","0","0","45","-7","1","MEMORY","START","16","50025019","2712","2004","80556","68A314071 2012 -2712 OP2","0","0","N80556 X66.46650 Y22.72692 ","29168","50025019","0","0","-1","","100",""
"2019/08/12 09:37:24:102","28.6","","","27.8","26.7","","","0.0","0.0","0.0","1.99","4000","3999","CW","360","100","489.80","0","50.00","100","01000100","-10.40304","-43.86695","-27.07192","5400.0000","0.0003","-43.86888","-26.77081","0.0000","66.59105","22.48434","3.60634","0.0000","0.0000","-43.86888","4.30000","0.0000","-10.40311","-43.86888","-27.07196","0.0000","0.0000","-43.86888","-27.07196","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","-4","36","23","0","-1","36","24","0","MEMORY","START","16","50025019","2712","2004","80568","68A314071 2012 -2712 OP2","0","0","N80568 X66.44382 Y25.68591 ","29180","50025019","0","0","-1","","99.9",""
"2019/08/12 09:37:27:110","28.6","","","27.8","26.7","","","0.0","0.0","0.0","1.76","4000","4000","CW","360","100","287.73","0","50.00","100","01000100","-10.45011","-40.45351","-27.23330","5400.0000","0.0003","-40.45544","-27.23346","0.0000","66.54398","25.89778","3.38350","0.0000","0.0000","-40.45544","4.30000","0.0000","-10.45018","-40.45544","-27.23334","0.0000","0.0000","-40.45544","-27.23334","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","-20","31","121","0","-2","31","118","1","MEMORY","START","16","50025019","2712","2004","80587","68A314071 2012 -2712 OP2","0","0","N80587 X67.33260 Y25.65080 ","29199","50025019","0","0","-1","","100",""
"2019/08/12 09:37:30:118","28.6","","","27.8","26.7","","","0.0","0.0","0.0","1.75","4000","3999","CW","360","100","552.00","0","50.00","100","01000100","-9.69113","-40.44788","-26.63528","5400.0000","0.0003","-40.44981","-26.63543","0.0000","67.30296","25.90341","3.91941","0.0000","0.0000","-40.44981","4.30000","0.0000","-9.69120","-40.44981","-26.63532","0.0000","0.0000","-40.44981","-26.63532","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","20","28","-31","0","0","27","-29","1","MEMORY","START","16","50025019","2712","2004","80605","68A314071 2012 -2712 OP2","0","0","N80605 X60.27870 Y25.60994 ","29217","50025019","0","0","-1","","99.9",""
