DATE,MOTOR COIL,FRONT IN,REAR_IN,FRONT OUT,REAR OUT,MACHINE TEMP,VIBRATION,VIB-X,VIB-Y,VIB-Z,SPINDLE LOAD,SPINDLE COMMAND SPEED,SPINDLE ACTUAL SPEED,SPINDLE DIRECTION,FEED SPEED,FEED OVERRIDE,FEED ACTUAL SPEED,DI_CUT,JOG OVERRIDE,RAPID OVERRIDE,FEED AXIS STATUS,RELATIVE1,RELATIVE2,RELATIVE3,RELATIVE4,RELATIVE5,RELATIVE6,RELATIVE7,RELATIVE8,ABSOLUTE1,ABSOLUTE2,ABSOLUTE3,ABSOLUTE4,ABSOLUTE5,ABSOLUTE6,ABSOLUTE7,ABSOLUTE8,MACHINE1,MACHINE2,MACHINE3,MACHINE4,MACHINE5,MACHINE6,MACHINE7,MACHINE8,DISTANCE1,DISTANCE2,DISTANCE3,DISTANCE4,DISTANCE5,DISTANCE6,DISTANCE7,DISTANCE8,LOAD1,LOAD2,LOAD3,LOAD4,LOAD5,LOAD6,LOAD7,LOAD8,NC MODE,NC STATUS,SPINDLE POT,SPINDLE PTN,MAIN PROGRAM,EXEC PROGRAM,SEQ NUMBER,MAIN COMMENT,MACHINE ALARM,MACHINE WARNING,EXEC BLOCK,BLOCK COUNTER,SPINDLE FTN,SPINDLE ITN,EMERGENCY,ADDITIONAL INCYCLE STATUS,CUTTING REMOVAL AMOUNT,SPINDLE OVERRIDE,MSPINDLE LOAD
"2019/08/01 16:00:02:608","","","","","","","","","","","0.00","0","0","STOP","0","0","0.00","0","0","100","00000000","0.00000","-0.00002","0.00000","0.0000","0.0000","-0.00211","0.00000","-0.0002","76.99412","66.35111","38.77251","359.9996","-0.0002","-0.00002","-0.09840","0.0000","-0.00004","-0.00211","-0.09846","359.9997","-0.0002","-0.00211","-0.09840","-0.0002","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","0","0","0","0","0","0","0","MDI","RESET","0","0","1712","0","0","68A314071 2012 -2712 OP1","0","0","O0000%","0","0","0","1","-1","","0",""
"2019/08/01 16:00:05:608","","","","","","","","","","","0.00","0","0","STOP","0","0","0.11","0","0","100","00000000","0.00000","-0.00002","0.00000","0.0000","0.0000","-0.00211","0.00000","-0.0002","76.99412","66.35111","38.77251","359.9997","-0.0002","-0.00002","-0.09840","0.0000","-0.00004","-0.00211","-0.09846","359.9997","-0.0002","-0.00211","-0.09840","-0.0002","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","0","0","0","0","0","0","0","MDI","RESET","0","0","1712","0","0","68A314071 2012 -2712 OP1","0","0","O0000%","0","0","0","1","-1","","0",""
"2019/08/01 16:00:08:616","","","","","","","","","","","0.00","0","0","STOP","0","0","0.11","0","0","100","00000000","0.00000","-0.00002","0.00000","-0.0001","0.0000","-0.00211","0.00000","-0.0002","76.99412","66.35111","38.77251","359.9996","-0.0002","-0.00002","-0.09840","0.0000","-0.00004","-0.00211","-0.09846","359.9996","-0.0002","-0.00211","-0.09840","-0.0002","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","0","0","0","0","0","0","0","MDI","RESET","0","0","1712","0","0","68A314071 2012 -2712 OP1","0","0","O0000%","0","0","0","1","-1","","0",""
"2019/08/01 16:00:11:617","","","","","","","","","","","0.00","0","0","STOP","0","0","0.11","0","0","100","00000000","0.00000","-0.00002","0.00000","-0.0001","0.0000","-0.00211","0.00000","-0.0002","76.99412","66.35111","38.77251","359.9997","-0.0002","-0.00002","-0.09841","0.0000","-0.00004","-0.00211","-0.09846","359.9996","-0.0002","-0.00211","-0.09840","-0.0002","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","0","0","0","0","0","0","0","MDI","RESET","0","0","1712","0","0","68A314071 2012 -2712 OP1","0","0","O0000%","0","0","0","1","-1","","0",""
"2019/08/01 16:00:14:600","","","","","","","","","","","0.00","0","0","STOP","0","0","0.00","0","0","100","00000000","0.00000","-0.00002","0.00000","0.0000","0.0000","-0.00212","0.00000","-0.0002","76.99412","66.35110","38.77251","359.9996","-0.0001","-0.00002","-0.09841","0.0001","-0.00004","-0.00212","-0.09846","359.9997","-0.0002","-0.00212","-0.09840","-0.0002","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","0","0","0","0","0","0","0","MDI","RESET","0","0","1712","0","0","68A314071 2012 -2712 OP1","0","0","O0000%","0","0","0","1","-1","","0",""
"2019/08/01 16:00:17:602","","","","","","","","","","","0.00","0","0","STOP","0","0","0.11","0","0","100","00000000","0.00000","-0.00002","0.00000","-0.0001","0.0001","-0.00212","0.00000","-0.0001","76.99412","66.35110","38.77251","359.9996","-0.0001","-0.00002","-0.09840","0.0001","-0.00004","-0.00212","-0.09846","359.9996","-0.0001","-0.00212","-0.09840","-0.0001","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","0","0","0","0","0","0","0","MDI","RESET","0","0","1712","0","0","68A314071 2012 -2712 OP1","0","0","O0000%","0","0","0","1","-1","","0",""
"2019/08/01 16:00:20:625","","","","","","","","","","","0.00","0","0","STOP","0","0","0.00","0","0","100","00000000","0.00000","-0.00002","0.00000","0.0000","0.0000","-0.00212","0.00000","-0.0002","76.99412","66.35110","38.77251","359.9997","-0.0002","-0.00002","-0.09840","0.0000","-0.00004","-0.00212","-0.09846","359.9997","-0.0002","-0.00212","-0.09840","-0.0002","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","0","0","0","0","0","0","0","MDI","RESET","0","0","1712","0","0","68A314071 2012 -2712 OP1","0","0","O0000%","0","0","0","1","-1","","0",""
"2019/08/01 16:00:23:600","","","","","","","","","","","0.00","0","0","STOP","0","0","0.00","0","0","100","00000000","0.00000","-0.00002","0.00000","0.0000","0.0000","-0.00212","0.00000","-0.0002","76.99412","66.35110","38.77251","359.9997","-0.0001","-0.00002","-0.09840","0.0001","-0.00004","-0.00212","-0.09846","359.9997","-0.0002","-0.00212","-0.09840","-0.0002","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","0","0","0","0","0","0","0","MDI","RESET","0","0","1712","0","0","68A314071 2012 -2712 OP1","0","0","O0000%","0","0","0","1","-1","","0",""
"2019/08/01 16:00:26:601","","","","","","","","","","","0.00","0","0","STOP","0","0","0.11","0","0","100","00000000","0.00000","-0.00003","0.00000","-0.0001","0.0000","-0.00212","0.00000","-0.0002","76.99412","66.35110","38.77251","359.9996","-0.0002","-0.00003","-0.09841","0.0000","-0.00004","-0.00212","-0.09846","359.9996","-0.0002","-0.00212","-0.09840","-0.0002","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","0","0","0","0","0","0","0","MDI","RESET","0","0","1712","0","0","68A314071 2012 -2712 OP1","0","0","O0000%","0","0","0","1","-1","","0",""
"2019/08/01 16:00:29:608","","","","","","","","","","","0.00","0","0","STOP","0","0","0.15","0","0","100","00000000","0.00000","-0.00003","0.00000","-0.0001","0.0000","-0.00212","0.00000","-0.0002","76.99412","66.35110","38.77251","359.9997","-0.0002","-0.00003","-0.09840","0.0000","-0.00004","-0.00212","-0.09846","359.9996","-0.0002","-0.00212","-0.09840","-0.0002","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","0","0","0","0","0","0","0","MDI","RESET","0","0","1712","0","0","68A314071 2012 -2712 OP1","0","0","O0000%","0","0","0","1","-1","","0",""
"2019/08/01 16:00:32:770","22.6","","","7.7","7.8","","","0.0","0.0","0.0","0.00","0","0","STOP","0","100","0.11","0","50.00","50","00000000","0.00000","-0.00003","0.00000","-0.0001","0.0000","-0.00212","0.00000","-0.0002","76.99412","66.35110","38.77251","359.9996","-0.0002","-0.00003","-0.09840","0.0000","-0.00004","-0.00212","-0.09846","359.9996","-0.0002","-0.00212","-0.09840","-0.0002","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","0","0","0","0","0","0","0","MDI","RESET","21","50020000","1712","0","0","68A314071 2012 -2712 OP1","140052","0","O0000%","0","0","0","1","-1","","0",""
"2019/08/01 16:00:35:760","22.6","","","23.2","23.6","","","0.0","0.0","0.0","0.00","0","0","STOP","0","100","0.15","0","50.00","50","00000000","0.00000","-0.00003","0.00000","0.0000","0.0000","-0.00212","0.00000","-0.0002","76.99412","66.35110","38.77251","359.9996","-0.0002","-0.00003","-0.09841","0.0000","-0.00004","-0.00212","-0.09846","359.9997","-0.0002","-0.00212","-0.09840","-0.0002","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","0","0","0","0","0","0","0","MDI","RESET","21","50020000","1712","0","0","68A314071 2012 -2712 OP1","140052","0","O0000%","0","0","0","1","-1","","0",""
"2019/08/01 16:00:40:104","22.6","","","23.2","23.6","","","0.0","0.0","0.0","0.00","0","0","STOP","0","100","0.11","0","50.00","50","00000000","0.00000","-0.00003","0.00000","0.0000","0.0000","-0.00213","0.00000","-0.0002","76.99412","66.35109","38.77251","359.9996","-0.0002","-0.00003","-0.09840","0.0000","-0.00004","-0.00213","-0.09846","359.9997","-0.0002","-0.00213","-0.09841","-0.0002","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","0","0","0","0","0","0","0","0","MDI","RESET","21","50020000","1712","0","0","68A314071 2012 -2712 OP1","0","0","O0000%","0","0","0","2","-1","","0",""
"2019/08/01 16:00:41:776","22.6","","","23.2","23.6","","","0.0","0.0","0.0","0.00","0","0","STOP","0","100","0.00","0","50.00","50","00000000","0.00000","-0.00003","0.00000","0.0000","0.0000","-0.00213","-0.00006","-0.0002","76.99412","66.35109","38.77251","359.9997","-0.0002","-0.00003","-0.09846","0.0000","-0.00004","-0.00213","-0.09846","359.9997","-0.0002","-0.00213","-0.09846","-0.0002","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","1","141","0","1","0","141","-10","0","JOG","RESET","21","50020000","1712","1712","0","68A314071 2012 -2712 OP1","0","161004","O1712(68A314071 2012 -2712 OP1)","0","0","0","0","-1","","0",""
"2019/08/01 16:00:44:857","22.6","","","23.2","23.6","","","0.0","0.0","0.0","0.00","0","0","STOP","0","100","0.00","0","50.00","50","00000000","0.00000","-0.00003","0.00000","0.0000","0.0000","-0.00213","-0.00006","-0.0002","76.99412","66.35109","38.77251","359.9997","-0.0002","-0.00003","-0.09846","0.0000","-0.00004","-0.00213","-0.09846","359.9997","-0.0002","-0.00213","-0.09846","-0.0002","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","10","103","-3","1","0","102","-34","0","JOG","RESET","21","50020000","1712","1712","0","68A314071 2012 -2712 OP1","0","161004","O1712(68A314071 2012 -2712 OP1)","0","0","0","0","-1","","0",""
